P 1933.310, -1788.340, 0.0000, 205, 120, 45, 3, N
P 1933.310, -1582.340, 0.0000, 115, 110, 104, 1, S
P 2028.310, -1677.340, 0.0000, 115, 110, 104, 1, E
P 1838.310, -1677.340, 0.0000, 115, 110, 104, 1, W
L 1783.310, -1977.340, 0.0000, 1783.310, 873.690, 0.0000, 45, 40, 38
L 1783.310, 873.690, 0.0000, -889.690, 873.690, 0.0000, 45, 40, 38
L -889.690, 873.690, 0.0000, -889.690, -1977.340, 0.0000, 45, 40, 38
L 1767.310, -1961.340, 0.0000, 1767.310, 857.690, 0.0000, 115, 110, 104
L 1767.310, 857.690, 0.0000, -873.690, 857.690, 0.0000, 115, 110, 104
L -873.690, 857.690, 0.0000, -873.690, -1961.340, 0.0000, 115, 110, 104
L 1753.310, -1947.340, 0.0000, 1753.310, 843.690, 0.0000, 45, 40, 38
L 1753.310, 843.690, 0.0000, -859.690, 843.690, 0.0000, 45, 40, 38
L -859.690, 843.690, 0.0000, -859.690, -1947.340, 0.0000, 45, 40, 38
L -632.679, -1966.672, 0.0000, -618.212, -1969.337, 0.0000, 205, 120, 45
L -618.212, -1969.337, 0.0000, -603.818, -1966.309, 0.0000, 205, 120, 45
L -603.818, -1966.309, 0.0000, -591.652, -1958.041, 0.0000, 205, 120, 45
L -591.652, -1958.041, 0.0000, -583.537, -1945.772, 0.0000, 205, 120, 45
L -583.537, -1945.772, 0.0000, -580.690, -1931.340, 0.0000, 205, 120, 45
L -580.690, -1931.340, 0.0000, -583.537, -1916.908, 0.0000, 205, 120, 45
L -583.537, -1916.908, 0.0000, -591.652, -1904.639, 0.0000, 205, 120, 45
L -591.652, -1904.639, 0.0000, -603.818, -1896.371, 0.0000, 205, 120, 45
L -603.818, -1896.371, 0.0000, -618.212, -1893.343, 0.0000, 205, 120, 45
L -618.212, -1893.343, 0.0000, -632.679, -1896.008, 0.0000, 205, 120, 45
L -332.679, -1966.672, 0.0000, -318.212, -1969.337, 0.0000, 205, 120, 45
L -318.212, -1969.337, 0.0000, -303.818, -1966.309, 0.0000, 205, 120, 45
L -303.818, -1966.309, 0.0000, -291.652, -1958.041, 0.0000, 205, 120, 45
L -291.652, -1958.041, 0.0000, -283.537, -1945.772, 0.0000, 205, 120, 45
L -283.537, -1945.772, 0.0000, -280.690, -1931.340, 0.0000, 205, 120, 45
L -280.690, -1931.340, 0.0000, -283.537, -1916.908, 0.0000, 205, 120, 45
L -283.537, -1916.908, 0.0000, -291.652, -1904.639, 0.0000, 205, 120, 45
L -291.652, -1904.639, 0.0000, -303.818, -1896.371, 0.0000, 205, 120, 45
L -303.818, -1896.371, 0.0000, -318.212, -1893.343, 0.0000, 205, 120, 45
L -318.212, -1893.343, 0.0000, -332.679, -1896.008, 0.0000, 205, 120, 45
L -32.679, -1966.672, 0.0000, -18.212, -1969.337, 0.0000, 205, 120, 45
L -18.212, -1969.337, 0.0000, -3.818, -1966.309, 0.0000, 205, 120, 45
L -3.818, -1966.309, 0.0000, 8.348, -1958.041, 0.0000, 205, 120, 45
L 8.348, -1958.041, 0.0000, 16.463, -1945.772, 0.0000, 205, 120, 45
L 16.463, -1945.772, 0.0000, 19.310, -1931.340, 0.0000, 205, 120, 45
L 19.310, -1931.340, 0.0000, 16.463, -1916.908, 0.0000, 205, 120, 45
L 16.463, -1916.908, 0.0000, 8.348, -1904.639, 0.0000, 205, 120, 45
L 8.348, -1904.639, 0.0000, -3.818, -1896.371, 0.0000, 205, 120, 45
L -3.818, -1896.371, 0.0000, -18.212, -1893.343, 0.0000, 205, 120, 45
L -18.212, -1893.343, 0.0000, -32.679, -1896.008, 0.0000, 205, 120, 45
L 267.321, -1966.672, 0.0000, 281.788, -1969.337, 0.0000, 205, 120, 45
L 281.788, -1969.337, 0.0000, 296.182, -1966.309, 0.0000, 205, 120, 45
L 296.182, -1966.309, 0.0000, 308.348, -1958.041, 0.0000, 205, 120, 45
L 308.348, -1958.041, 0.0000, 316.463, -1945.772, 0.0000, 205, 120, 45
L 316.463, -1945.772, 0.0000, 319.310, -1931.340, 0.0000, 205, 120, 45
L 319.310, -1931.340, 0.0000, 316.463, -1916.908, 0.0000, 205, 120, 45
L 316.463, -1916.908, 0.0000, 308.348, -1904.639, 0.0000, 205, 120, 45
L 308.348, -1904.639, 0.0000, 296.182, -1896.371, 0.0000, 205, 120, 45
L 296.182, -1896.371, 0.0000, 281.788, -1893.343, 0.0000, 205, 120, 45
L 281.788, -1893.343, 0.0000, 267.321, -1896.008, 0.0000, 205, 120, 45
L 567.321, -1966.672, 0.0000, 581.788, -1969.337, 0.0000, 205, 120, 45
L 581.788, -1969.337, 0.0000, 596.182, -1966.309, 0.0000, 205, 120, 45
L 596.182, -1966.309, 0.0000, 608.348, -1958.041, 0.0000, 205, 120, 45
L 608.348, -1958.041, 0.0000, 616.463, -1945.772, 0.0000, 205, 120, 45
L 616.463, -1945.772, 0.0000, 619.310, -1931.340, 0.0000, 205, 120, 45
L 619.310, -1931.340, 0.0000, 616.463, -1916.908, 0.0000, 205, 120, 45
L 616.463, -1916.908, 0.0000, 608.348, -1904.639, 0.0000, 205, 120, 45
L 608.348, -1904.639, 0.0000, 596.182, -1896.371, 0.0000, 205, 120, 45
L 596.182, -1896.371, 0.0000, 581.788, -1893.343, 0.0000, 205, 120, 45
L 581.788, -1893.343, 0.0000, 567.321, -1896.008, 0.0000, 205, 120, 45
L 867.321, -1966.672, 0.0000, 881.788, -1969.337, 0.0000, 205, 120, 45
L 881.788, -1969.337, 0.0000, 896.182, -1966.309, 0.0000, 205, 120, 45
L 896.182, -1966.309, 0.0000, 908.348, -1958.041, 0.0000, 205, 120, 45
L 908.348, -1958.041, 0.0000, 916.463, -1945.772, 0.0000, 205, 120, 45
L 916.463, -1945.772, 0.0000, 919.310, -1931.340, 0.0000, 205, 120, 45
L 919.310, -1931.340, 0.0000, 916.463, -1916.908, 0.0000, 205, 120, 45
L 916.463, -1916.908, 0.0000, 908.348, -1904.639, 0.0000, 205, 120, 45
L 908.348, -1904.639, 0.0000, 896.182, -1896.371, 0.0000, 205, 120, 45
L 896.182, -1896.371, 0.0000, 881.788, -1893.343, 0.0000, 205, 120, 45
L 881.788, -1893.343, 0.0000, 867.321, -1896.008, 0.0000, 205, 120, 45
L 1167.321, -1966.672, 0.0000, 1181.788, -1969.337, 0.0000, 205, 120, 45
L 1181.788, -1969.337, 0.0000, 1196.182, -1966.309, 0.0000, 205, 120, 45
L 1196.182, -1966.309, 0.0000, 1208.348, -1958.041, 0.0000, 205, 120, 45
L 1208.348, -1958.041, 0.0000, 1216.463, -1945.772, 0.0000, 205, 120, 45
L 1216.463, -1945.772, 0.0000, 1219.310, -1931.340, 0.0000, 205, 120, 45
L 1219.310, -1931.340, 0.0000, 1216.463, -1916.908, 0.0000, 205, 120, 45
L 1216.463, -1916.908, 0.0000, 1208.348, -1904.639, 0.0000, 205, 120, 45
L 1208.348, -1904.639, 0.0000, 1196.182, -1896.371, 0.0000, 205, 120, 45
L 1196.182, -1896.371, 0.0000, 1181.788, -1893.343, 0.0000, 205, 120, 45
L 1181.788, -1893.343, 0.0000, 1167.321, -1896.008, 0.0000, 205, 120, 45
L 1467.321, -1966.672, 0.0000, 1481.788, -1969.337, 0.0000, 205, 120, 45
L 1481.788, -1969.337, 0.0000, 1496.182, -1966.309, 0.0000, 205, 120, 45
L 1496.182, -1966.309, 0.0000, 1508.348, -1958.041, 0.0000, 205, 120, 45
L 1508.348, -1958.041, 0.0000, 1516.463, -1945.772, 0.0000, 205, 120, 45
L 1516.463, -1945.772, 0.0000, 1519.310, -1931.340, 0.0000, 205, 120, 45
L 1519.310, -1931.340, 0.0000, 1516.463, -1916.908, 0.0000, 205, 120, 45
L 1516.463, -1916.908, 0.0000, 1508.348, -1904.639, 0.0000, 205, 120, 45
L 1508.348, -1904.639, 0.0000, 1496.182, -1896.371, 0.0000, 205, 120, 45
L 1496.182, -1896.371, 0.0000, 1481.788, -1893.343, 0.0000, 205, 120, 45
L 1481.788, -1893.343, 0.0000, 1467.321, -1896.008, 0.0000, 205, 120, 45
L -754.701, 863.021, 0.0000, -769.167, 865.687, 0.0000, 155, 48, 36
