L -700.00, -5212.59, 0.0000, -700.00, 343.66, 0.0000, 160, 165, 140
L 0.00, -5212.59, 0.0000, 0.00, 343.66, 0.0000, 160, 165, 140
L 700.00, -5212.59, 0.0000, 700.00, 343.66, 0.0000, 160, 165, 140
L 1400.00, -5212.59, 0.0000, 1400.00, 343.66, 0.0000, 160, 165, 140
L 2100.00, -5212.59, 0.0000, 2100.00, 343.66, 0.0000, 160, 165, 140
L -1201.22, -4900.00, 0.0000, 2481.29, -4900.00, 0.0000, 160, 165, 140
L -1201.22, -4200.00, 0.0000, 2481.29, -4200.00, 0.0000, 160, 165, 140
L -1201.22, -3500.00, 0.0000, 2481.29, -3500.00, 0.0000, 160, 165, 140
L -1201.22, -2800.00, 0.0000, 2481.29, -2800.00, 0.0000, 160, 165, 140
L -1201.22, -2100.00, 0.0000, 2481.29, -2100.00, 0.0000, 160, 165, 140
L -1201.22, -1400.00, 0.0000, 2481.29, -1400.00, 0.0000, 160, 165, 140
L -1201.22, -700.00, 0.0000, 2481.29, -700.00, 0.0000, 160, 165, 140
L -1201.22, 0.00, 0.0000, 2481.29, 0.00, 0.0000, 160, 165, 140
L -1201.22, -5212.59, 0.0000, 2481.29, -5212.59, 0.0000, 160, 165, 140
L -1201.22, 343.66, 0.0000, 2481.29, 343.66, 0.0000, 160, 165, 140
L -1201.22, -5212.59, 0.0000, -1201.22, 343.66, 0.0000, 160, 165, 140
L 2481.29, -5212.59, 0.0000, 2481.29, 343.66, 0.0000, 160, 165, 140
L -2090.22, -6101.59, 0.0000, -1748.94, -6020.45, 0.0000, 96, 110, 70
L -1748.94, -6020.45, 0.0000, -1407.66, -6101.59, 0.0000, 96, 110, 70
L -1407.66, -6101.59, 0.0000, -1066.37, -6006.14, 0.0000, 96, 110, 70
L -1066.37, -6006.14, 0.0000, -725.09, -6101.59, 0.0000, 96, 110, 70
L -725.09, -6101.59, 0.0000, -383.81, -6044.88, 0.0000, 96, 110, 70
L -383.81, -6044.88, 0.0000, -42.53, -6101.59, 0.0000, 96, 110, 70
L -42.53, -6101.59, 0.0000, 298.75, -6032.81, 0.0000, 96, 110, 70
L 298.75, -6032.81, 0.0000, 640.03, -6101.59, 0.0000, 96, 110, 70
L 640.03, -6101.59, 0.0000, 981.32, -6002.06, 0.0000, 96, 110, 70
L 981.32, -6002.06, 0.0000, 1322.60, -6101.59, 0.0000, 96, 110, 70
L 1322.60, -6101.59, 0.0000, 1663.88, -6001.68, 0.0000, 96, 110, 70
L 1663.88, -6001.68, 0.0000, 2005.16, -6101.59, 0.0000, 96, 110, 70
L 2005.16, -6101.59, 0.0000, 2346.44, -5993.43, 0.0000, 96, 110, 70
L 2346.44, -5993.43, 0.0000, 2687.73, -6101.59, 0.0000, 96, 110, 70
L 2687.73, -6101.59, 0.0000, 3029.01, -6011.14, 0.0000, 96, 110, 70
L 3029.01, -6011.14, 0.0000, 3370.29, -6101.59, 0.0000, 96, 110, 70
