P -1762.38, 3302.74, 0.0000, 70, 110, 140, 3, N
P -1762.38, 3917.20, 0.0000, 90, 120, 140, 1, S
P -1455.15, 3609.97, 0.0000, 90, 120, 140, 1, E
P -2069.61, 3609.97, 0.0000, 90, 120, 140, 1, W
L -1060.00, -5150.56, 0.0000, -1060.00, 3144.47, 0.0000, 170, 190, 205
L 0.00, -5150.56, 0.0000, 0.00, 3144.47, 0.0000, 170, 190, 205
L 1060.00, -5150.56, 0.0000, 1060.00, 3144.47, 0.0000, 170, 190, 205
L 2120.00, -5150.56, 0.0000, 2120.00, 3144.47, 0.0000, 170, 190, 205
L 3180.00, -5150.56, 0.0000, 3180.00, 3144.47, 0.0000, 170, 190, 205
L 4240.00, -5150.56, 0.0000, 4240.00, 3144.47, 0.0000, 170, 190, 205
L 5300.00, -5150.56, 0.0000, 5300.00, 3144.47, 0.0000, 170, 190, 205
L 6360.00, -5150.56, 0.0000, 6360.00, 3144.47, 0.0000, 170, 190, 205
L -1296.88, -4240.00, 0.0000, 7160.00, -4240.00, 0.0000, 170, 190, 205
L -1296.88, -3180.00, 0.0000, 7160.00, -3180.00, 0.0000, 170, 190, 205
L -1296.88, -2120.00, 0.0000, 7160.00, -2120.00, 0.0000, 170, 190, 205
L -1296.88, -1060.00, 0.0000, 7160.00, -1060.00, 0.0000, 170, 190, 205
L -1296.88, 0.00, 0.0000, 7160.00, 0.00, 0.0000, 170, 190, 205
L -1296.88, 1060.00, 0.0000, 7160.00, 1060.00, 0.0000, 170, 190, 205
L -1296.88, 2120.00, 0.0000, 7160.00, 2120.00, 0.0000, 170, 190, 205
L -1296.88, -5150.56, 0.0000, 7160.00, -5150.56, 0.0000, 170, 190, 205
L -1296.88, 3144.47, 0.0000, 7160.00, 3144.47, 0.0000, 170, 190, 205
L -1296.88, -5150.56, 0.0000, -1296.88, 3144.47, 0.0000, 170, 190, 205
L 7160.00, -5150.56, 0.0000, 7160.00, 3144.47, 0.0000, 170, 190, 205
L -2649.88, -6503.56, 0.0000, -2142.48, -6433.98, 0.0000, 90, 120, 140
L -2142.48, -6433.98, 0.0000, -1635.07, -6503.56, 0.0000, 90, 120, 140
L -1635.07, -6503.56, 0.0000, -1127.67, -6436.77, 0.0000, 90, 120, 140
L -1127.67, -6436.77, 0.0000, -620.27, -6503.56, 0.0000, 90, 120, 140
L -620.27, -6503.56, 0.0000, -112.86, -6356.11, 0.0000, 90, 120, 140
L -112.86, -6356.11, 0.0000, 394.54, -6503.56, 0.0000, 90, 120, 140
L 394.54, -6503.56, 0.0000, 901.95, -6439.71, 0.0000, 90, 120, 140
L 901.95, -6439.71, 0.0000, 1409.35, -6503.56, 0.0000, 90, 120, 140
L 4453.77, -6503.56, 0.0000, 4961.17, -6388.73, 0.0000, 90, 120, 140
L 4961.17, -6388.73, 0.0000, 5468.58, -6503.56, 0.0000, 90, 120, 140
L 5468.58, -6503.56, 0.0000, 5975.98, -6352.10, 0.0000, 90, 120, 140
L 5975.98, -6352.10, 0.0000, 6483.39, -6503.56, 0.0000, 90, 120, 140
L 6483.39, -6503.56, 0.0000, 6990.79, -6431.07, 0.0000, 90, 120, 140
L 6990.79, -6431.07, 0.0000, 7498.19, -6503.56, 0.0000, 90, 120, 140
L 7498.19, -6503.56, 0.0000, 8005.60, -6413.62, 0.0000, 90, 120, 140
L 8005.60, -6413.62, 0.0000, 8513.00, -6503.56, 0.0000, 90, 120, 140
L 8513.00, -6503.56, 0.0000, 8390.82, -5979.70, 0.0000, 90, 120, 140
L 8390.82, -5979.70, 0.0000, 8513.00, -5455.84, 0.0000, 90, 120, 140
L 8513.00, -5455.84, 0.0000, 8438.29, -4931.98, 0.0000, 90, 120, 140
L 8438.29, -4931.98, 0.0000, 8513.00, -4408.13, 0.0000, 90, 120, 140
L 8513.00, -4408.13, 0.0000, 8387.60, -3884.27, 0.0000, 90, 120, 140
L 8387.60, -3884.27, 0.0000, 8513.00, -3360.41, 0.0000, 90, 120, 140
L 8513.00, -3360.41, 0.0000, 8386.59, -2836.55, 0.0000, 90, 120, 140
L 8386.59, -2836.55, 0.0000, 8513.00, -2312.69, 0.0000, 90, 120, 140
L 8513.00, -2312.69, 0.0000, 8425.42, -1788.83, 0.0000, 90, 120, 140
L 8425.42, -1788.83, 0.0000, 8513.00, -1264.97, 0.0000, 90, 120, 140
L 8513.00, -1264.97, 0.0000, 8366.11, -741.12, 0.0000, 90, 120, 140
L 8366.11, -741.12, 0.0000, 8513.00, -217.26, 0.0000, 90, 120, 140
L 8513.00, -217.26, 0.0000, 8358.98, 306.60, 0.0000, 90, 120, 140
L 8358.98, 306.60, 0.0000, 8513.00, 830.46, 0.0000, 90, 120, 140
L 8513.00, 830.46, 0.0000, 8345.64, 1354.32, 0.0000, 90, 120, 140
L 8345.64, 1354.32, 0.0000, 8513.00, 1878.18, 0.0000, 90, 120, 140
L 8513.00, 1878.18, 0.0000, 8371.46, 2402.04, 0.0000, 90, 120, 140
L 8371.46, 2402.04, 0.0000, 8513.00, 2925.89, 0.0000, 90, 120, 140
L 8513.00, 2925.89, 0.0000, 8432.20, 3449.75, 0.0000, 90, 120, 140
L 8432.20, 3449.75, 0.0000, 8513.00, 3973.61, 0.0000, 90, 120, 140
L 8513.00, 3973.61, 0.0000, 8354.34, 4497.47, 0.0000, 90, 120, 140
L 8513.00, 4497.47, 0.0000, 8005.60, 4362.86, 0.0000, 90, 120, 140
L 8005.60, 4362.86, 0.0000, 7498.19, 4497.47, 0.0000, 90, 120, 140
L 7498.19, 4497.47, 0.0000, 6990.79, 4345.36, 0.0000, 90, 120, 140
L 6990.79, 4345.36, 0.0000, 6483.39, 4497.47, 0.0000, 90, 120, 140
L 6483.39, 4497.47, 0.0000, 5975.98, 4374.70, 0.0000, 90, 120, 140
L 5975.98, 4374.70, 0.0000, 5468.58, 4497.47, 0.0000, 90, 120, 140
