P -5516.0480, -3898.5280, 0.0000, 40, 90, 120, 3, N
P -5516.0480, -3025.5680, 0.0000, 40, 80, 110, 1, S
P -5079.5680, -3462.0480, 0.0000, 40, 80, 110, 1, E
P -5952.5280, -3462.0480, 0.0000, 40, 80, 110, 1, W
L -4700.00, -2751.00, 0.0000, -4700.00, 4661.00, 0.0000, 150, 180, 195
L -3760.00, -2751.00, 0.0000, -3760.00, 4661.00, 0.0000, 150, 180, 195
L -2820.00, -2751.00, 0.0000, -2820.00, 4661.00, 0.0000, 150, 180, 195
L -1880.00, -2751.00, 0.0000, -1880.00, 4661.00, 0.0000, 150, 180, 195
L -940.00, -2751.00, 0.0000, -940.00, 4661.00, 0.0000, 150, 180, 195
L 0.00, -2751.00, 0.0000, 0.00, 4661.00, 0.0000, 150, 180, 195
L 940.00, -2751.00, 0.0000, 940.00, 4661.00, 0.0000, 150, 180, 195
L 1880.00, -2751.00, 0.0000, 1880.00, 4661.00, 0.0000, 150, 180, 195
L -4805.00, -940.00, 0.0000, 2777.00, -940.00, 0.0000, 150, 180, 195
L -4805.00, 0.00, 0.0000, 2777.00, 0.00, 0.0000, 150, 180, 195
L -4805.00, 940.00, 0.0000, 2777.00, 940.00, 0.0000, 150, 180, 195
L -4805.00, 1880.00, 0.0000, 2777.00, 1880.00, 0.0000, 150, 180, 195
L -4805.00, 2820.00, 0.0000, 2777.00, 2820.00, 0.0000, 150, 180, 195
L -4805.00, 3760.00, 0.0000, 2777.00, 3760.00, 0.0000, 150, 180, 195
L -4805.00, 4661.00, 0.0000, 2777.00, 4661.00, 0.0000, 150, 180, 195
L -4805.00, -2751.00, 0.0000, -4805.00, 4661.00, 0.0000, 150, 180, 195
L 2777.00, -2751.00, 0.0000, 2777.00, 4661.00, 0.0000, 150, 180, 195
L 3535.09, -3840.57, 0.0000, 3990.00, -3964.00, 0.0000, 40, 80, 110
L 3990.00, -3964.00, 0.0000, 3890.10, -3495.52, 0.0000, 40, 80, 110
L 3890.10, -3495.52, 0.0000, 3990.00, -3027.05, 0.0000, 40, 80, 110
L 3990.00, -3027.05, 0.0000, 3912.97, -2558.57, 0.0000, 40, 80, 110
L 3912.97, -2558.57, 0.0000, 3990.00, -2090.10, 0.0000, 40, 80, 110
L 3990.00, -2090.10, 0.0000, 3891.58, -1621.62, 0.0000, 40, 80, 110
L 3891.58, -1621.62, 0.0000, 3990.00, -1153.14, 0.0000, 40, 80, 110
L 3990.00, -1153.14, 0.0000, 3902.12, -684.67, 0.0000, 40, 80, 110
L 3902.12, -684.67, 0.0000, 3990.00, -216.19, 0.0000, 40, 80, 110
L 3990.00, -216.19, 0.0000, 3904.45, 252.29, 0.0000, 40, 80, 110
L 3904.45, 252.29, 0.0000, 3990.00, 720.76, 0.0000, 40, 80, 110
L 3990.00, 720.76, 0.0000, 3914.51, 1189.24, 0.0000, 40, 80, 110
L 3914.51, 1189.24, 0.0000, 3990.00, 1657.71, 0.0000, 40, 80, 110
L 3990.00, 1657.71, 0.0000, 3928.25, 2126.19, 0.0000, 40, 80, 110
L 3928.25, 2126.19, 0.0000, 3990.00, 2594.67, 0.0000, 40, 80, 110
L 3990.00, 2594.67, 0.0000, 3936.04, 3063.14, 0.0000, 40, 80, 110
L 3936.04, 3063.14, 0.0000, 3990.00, 3531.62, 0.0000, 40, 80, 110
L 3990.00, 3531.62, 0.0000, 3916.23, 4000.10, 0.0000, 40, 80, 110
L 3916.23, 4000.10, 0.0000, 3990.00, 4468.57, 0.0000, 40, 80, 110
L 3990.00, 4468.57, 0.0000, 3904.32, 4937.05, 0.0000, 40, 80, 110
L 3904.32, 4937.05, 0.0000, 3990.00, 5405.52, 0.0000, 40, 80, 110
L 3990.00, 5405.52, 0.0000, 3921.66, 5874.00, 0.0000, 40, 80, 110
L 3990.00, 5874.00, 0.0000, 3535.09, 5771.04, 0.0000, 40, 80, 110
L 3535.09, 5771.04, 0.0000, 3080.18, 5874.00, 0.0000, 40, 80, 110
L 3080.18, 5874.00, 0.0000, 2625.27, 5742.87, 0.0000, 40, 80, 110
L 2625.27, 5742.87, 0.0000, 2170.36, 5874.00, 0.0000, 40, 80, 110
L 2170.36, 5874.00, 0.0000, 1715.45, 5790.42, 0.0000, 40, 80, 110
L 1715.45, 5790.42, 0.0000, 1260.55, 5874.00, 0.0000, 40, 80, 110
L 1260.55, 5874.00, 0.0000, 805.64, 5746.22, 0.0000, 40, 80, 110
L 805.64, 5746.22, 0.0000, 350.73, 5874.00, 0.0000, 40, 80, 110
L 350.73, 5874.00, 0.0000, -104.18, 5801.53, 0.0000, 40, 80, 110
L -104.18, 5801.53, 0.0000, -559.09, 5874.00, 0.0000, 40, 80, 110
L -559.09, 5874.00, 0.0000, -1014.00, 5741.16, 0.0000, 40, 80, 110
L -1014.00, 5741.16, 0.0000, -1468.91, 5874.00, 0.0000, 40, 80, 110
L -1468.91, 5874.00, 0.0000, -1923.82, 5738.73, 0.0000, 40, 80, 110
L -1923.82, 5738.73, 0.0000, -2378.73, 5874.00, 0.0000, 40, 80, 110
L -2378.73, 5874.00, 0.0000, -2833.64, 5810.30, 0.0000, 40, 80, 110
L -2833.64, 5810.30, 0.0000, -3288.55, 5874.00, 0.0000, 40, 80, 110
L -3288.55, 5874.00, 0.0000, -3743.45, 5785.86, 0.0000, 40, 80, 110
L -3743.45, 5785.86, 0.0000, -4198.36, 5874.00, 0.0000, 40, 80, 110
L -4198.36, 5874.00, 0.0000, -4653.27, 5805.36, 0.0000, 40, 80, 110
L -4653.27, 5805.36, 0.0000, -5108.18, 5874.00, 0.0000, 40, 80, 110
L -5108.18, 5874.00, 0.0000, -5563.09, 5813.94, 0.0000, 40, 80, 110
L -5563.09, 5813.94, 0.0000, -6018.00, 5874.00, 0.0000, 40, 80, 110
L -6018.00, 5874.00, 0.0000, -5954.27, 5405.52, 0.0000, 40, 80, 110
L -5954.27, 5405.52, 0.0000, -6018.00, 4937.05, 0.0000, 40, 80, 110
L -6018.00, 4937.05, 0.0000, -5953.46, 4468.57, 0.0000, 40, 80, 110
L -5953.46, 4468.57, 0.0000, -6018.00, 4000.10, 0.0000, 40, 80, 110
L -6018.00, 4000.10, 0.0000, -5909.51, 3531.62, 0.0000, 40, 80, 110
L -5909.51, 3531.62, 0.0000, -6018.00, 3063.14, 0.0000, 40, 80, 110
L -6018.00, 3063.14, 0.0000, -5904.21, 2594.67, 0.0000, 40, 80, 110
L -5904.21, 2594.67, 0.0000, -6018.00, 2126.19, 0.0000, 40, 80, 110
L -6018.00, 2126.19, 0.0000, -5882.84, 1657.71, 0.0000, 40, 80, 110
L -5882.84, 1657.71, 0.0000, -6018.00, 1189.24, 0.0000, 40, 80, 110
L -6018.00, 1189.24, 0.0000, -5958.91, 720.76, 0.0000, 40, 80, 110
L -5958.91, 720.76, 0.0000, -6018.00, 252.29, 0.0000, 40, 80, 110
L -6018.00, 252.29, 0.0000, -5920.26, -216.19, 0.0000, 40, 80, 110
L -5920.26, -216.19, 0.0000, -6018.00, -684.67, 0.0000, 40, 80, 110
L -6018.00, -684.67, 0.0000, -5928.48, -1153.14, 0.0000, 40, 80, 110
L -5928.48, -1153.14, 0.0000, -6018.00, -1621.62, 0.0000, 40, 80, 110
L -5639.00, -3585.00, 0.0000, -5022.33, -3508.61, 0.0000, 110, 170, 200
L -5022.33, -3508.61, 0.0000, -4405.67, -3585.00, 0.0000, 110, 170, 200
L 2377.67, -3527.84, 0.0000, 2994.33, -3585.00, 0.0000, 110, 170, 200
