P -13223.0800, -6843.5800, 0.0000, 40, 90, 120, 3, N
P -13223.0800, -4296.3800, 0.0000, 40, 80, 110, 1, S
P -11949.4800, -5569.9800, 0.0000, 40, 80, 110, 1, E
P -14496.6800, -5569.9800, 0.0000, 40, 80, 110, 1, W
L -11040.00, -3494.62, 0.0000, -11040.00, 5374.28, 0.0000, 150, 180, 195
L -8280.00, -3494.62, 0.0000, -8280.00, 5374.28, 0.0000, 150, 180, 195
L -5520.00, -3494.62, 0.0000, -5520.00, 5374.28, 0.0000, 150, 180, 195
L -2760.00, -3494.62, 0.0000, -2760.00, 5374.28, 0.0000, 150, 180, 195
L 0.00, -3494.62, 0.0000, 0.00, 5374.28, 0.0000, 150, 180, 195
L 2760.00, -3494.62, 0.0000, 2760.00, 5374.28, 0.0000, 150, 180, 195
L 5520.00, -3494.62, 0.0000, 5520.00, 5374.28, 0.0000, 150, 180, 195
L 8280.00, -3494.62, 0.0000, 8280.00, 5374.28, 0.0000, 150, 180, 195
L -11147.72, -2760.00, 0.0000, 10982.94, -2760.00, 0.0000, 150, 180, 195
L -11147.72, 0.00, 0.0000, 10982.94, 0.00, 0.0000, 150, 180, 195
L -11147.72, 2760.00, 0.0000, 10982.94, 2760.00, 0.0000, 150, 180, 195
L -11147.72, -3494.62, 0.0000, 10982.94, -3494.62, 0.0000, 150, 180, 195
L -11147.72, 5374.28, 0.0000, 10982.94, 5374.28, 0.0000, 150, 180, 195
L -11147.72, -3494.62, 0.0000, -11147.72, 5374.28, 0.0000, 150, 180, 195
L 10982.94, -3494.62, 0.0000, 10982.94, 5374.28, 0.0000, 150, 180, 195
L -14687.72, -7034.62, 0.0000, -13359.96, -6819.42, 0.0000, 40, 80, 110
L -13359.96, -6819.42, 0.0000, -12032.21, -7034.62, 0.0000, 40, 80, 110
L -9376.69, -7034.62, 0.0000, -8048.93, -6770.18, 0.0000, 40, 80, 110
L -8048.93, -6770.18, 0.0000, -6721.18, -7034.62, 0.0000, 40, 80, 110
L -1410.15, -7034.62, 0.0000, -82.39, -6762.14, 0.0000, 40, 80, 110
L -82.39, -6762.14, 0.0000, 1245.37, -7034.62, 0.0000, 40, 80, 110
L 13195.18, -6682.43, 0.0000, 14522.94, -7034.62, 0.0000, 40, 80, 110
L 14522.94, -7034.62, 0.0000, 14145.33, -5705.55, 0.0000, 40, 80, 110
L 14145.33, -5705.55, 0.0000, 14522.94, -4376.47, 0.0000, 40, 80, 110
L 14522.94, -4376.47, 0.0000, 14238.40, -3047.39, 0.0000, 40, 80, 110
L 14238.40, -3047.39, 0.0000, 14522.94, -1718.32, 0.0000, 40, 80, 110
L 14522.94, -1718.32, 0.0000, 14259.86, -389.25, 0.0000, 40, 80, 110
L 14259.86, -389.25, 0.0000, 14522.94, 939.83, 0.0000, 40, 80, 110
L 14522.94, 939.83, 0.0000, 14236.28, 2268.90, 0.0000, 40, 80, 110
L 14236.28, 2268.90, 0.0000, 14522.94, 3597.98, 0.0000, 40, 80, 110
L 14522.94, 3597.98, 0.0000, 14332.46, 4927.05, 0.0000, 40, 80, 110
L 14332.46, 4927.05, 0.0000, 14522.94, 6256.13, 0.0000, 40, 80, 110
L 14522.94, 6256.13, 0.0000, 14204.54, 7585.20, 0.0000, 40, 80, 110
L 14204.54, 7585.20, 0.0000, 14522.94, 8914.28, 0.0000, 40, 80, 110
L 14522.94, 8914.28, 0.0000, 13195.18, 8657.76, 0.0000, 40, 80, 110
L 13195.18, 8657.76, 0.0000, 11867.43, 8914.28, 0.0000, 40, 80, 110
L 11867.43, 8914.28, 0.0000, 10539.67, 8752.08, 0.0000, 40, 80, 110
L 10539.67, 8752.08, 0.0000, 9211.91, 8914.28, 0.0000, 40, 80, 110
L 9211.91, 8914.28, 0.0000, 7884.15, 8690.81, 0.0000, 40, 80, 110
L 7884.15, 8690.81, 0.0000, 6556.40, 8914.28, 0.0000, 40, 80, 110
L 6556.40, 8914.28, 0.0000, 5228.64, 8546.43, 0.0000, 40, 80, 110
L 5228.64, 8546.43, 0.0000, 3900.88, 8914.28, 0.0000, 40, 80, 110
L 3900.88, 8914.28, 0.0000, 2573.12, 8478.98, 0.0000, 40, 80, 110
L 2573.12, 8478.98, 0.0000, 1245.37, 8914.28, 0.0000, 40, 80, 110
