P 1439.47, -1319.72, 0.0000, 95, 72, 62, 3, N
P 1439.47, -935.72, 0.0000, 155, 65, 30, 1, S
P 1631.47, -1127.72, 0.0000, 155, 65, 30, 1, E
P 1247.47, -1127.72, 0.0000, 155, 65, 30, 1, W
L -1100.00, -1402.72, 0.0000, -1100.00, 2382.34, 0.0000, 98, 78, 72
L -550.00, -1402.72, 0.0000, -550.00, 2382.34, 0.0000, 98, 78, 72
L 0.00, -1402.72, 0.0000, 0.00, 2382.34, 0.0000, 98, 78, 72
L 550.00, -1402.72, 0.0000, 550.00, 2382.34, 0.0000, 98, 78, 72
L 1100.00, -1402.72, 0.0000, 1100.00, 2382.34, 0.0000, 98, 78, 72
L -1437.44, -550.00, 0.0000, 1114.47, -550.00, 0.0000, 98, 78, 72
L -1437.44, 0.00, 0.0000, 1114.47, 0.00, 0.0000, 98, 78, 72
L -1437.44, 550.00, 0.0000, 1114.47, 550.00, 0.0000, 98, 78, 72
L -1437.44, 1100.00, 0.0000, 1114.47, 1100.00, 0.0000, 98, 78, 72
L -1437.44, 1650.00, 0.0000, 1114.47, 1650.00, 0.0000, 98, 78, 72
L -1437.44, 2200.00, 0.0000, 1114.47, 2200.00, 0.0000, 98, 78, 72
L 1722.85, -963.06, 0.0000, 1764.47, -841.99, 0.0000, 60, 45, 45
L 1764.47, -841.99, 0.0000, 1724.13, -720.92, 0.0000, 60, 45, 45
L 1724.13, -720.92, 0.0000, 1764.47, -599.85, 0.0000, 60, 45, 45
L 1764.47, -599.85, 0.0000, 1700.86, -478.77, 0.0000, 60, 45, 45
L 1700.86, -478.77, 0.0000, 1764.47, -357.70, 0.0000, 60, 45, 45
L 1764.47, -357.70, 0.0000, 1696.95, -236.63, 0.0000, 60, 45, 45
L 1696.95, -236.63, 0.0000, 1764.47, -115.55, 0.0000, 60, 45, 45
L 1764.47, -115.55, 0.0000, 1691.52, 5.52, 0.0000, 60, 45, 45
L 1691.52, 5.52, 0.0000, 1764.47, 126.59, 0.0000, 60, 45, 45
L 1764.47, 126.59, 0.0000, 1738.19, 247.66, 0.0000, 60, 45, 45
L 1738.19, 247.66, 0.0000, 1764.47, 368.74, 0.0000, 60, 45, 45
L 1764.47, 368.74, 0.0000, 1693.84, 489.81, 0.0000, 60, 45, 45
L 1693.84, 489.81, 0.0000, 1764.47, 610.88, 0.0000, 60, 45, 45
L 1764.47, 610.88, 0.0000, 1690.43, 731.96, 0.0000, 60, 45, 45
L 1690.43, 731.96, 0.0000, 1764.47, 853.03, 0.0000, 60, 45, 45
L 1764.47, 853.03, 0.0000, 1734.66, 974.10, 0.0000, 60, 45, 45
L 1734.66, 974.10, 0.0000, 1764.47, 1095.17, 0.0000, 60, 45, 45
L 1764.47, 1095.17, 0.0000, 1700.27, 1216.25, 0.0000, 60, 45, 45
L 1700.27, 1216.25, 0.0000, 1764.47, 1337.32, 0.0000, 60, 45, 45
L 1764.47, 1337.32, 0.0000, 1733.97, 1458.39, 0.0000, 60, 45, 45
L 1733.97, 1458.39, 0.0000, 1764.47, 1579.47, 0.0000, 60, 45, 45
L 1764.47, 1579.47, 0.0000, 1691.22, 1700.54, 0.0000, 60, 45, 45
L 1691.22, 1700.54, 0.0000, 1764.47, 1821.61, 0.0000, 60, 45, 45
L 1764.47, 1821.61, 0.0000, 1732.47, 1942.68, 0.0000, 60, 45, 45
L 1732.47, 1942.68, 0.0000, 1764.47, 2063.76, 0.0000, 60, 45, 45
L 1764.47, 2063.76, 0.0000, 1733.29, 2184.83, 0.0000, 60, 45, 45
L 1733.29, 2184.83, 0.0000, 1764.47, 2305.90, 0.0000, 60, 45, 45
L 1764.47, 2305.90, 0.0000, 1699.37, 2426.98, 0.0000, 60, 45, 45
L 1699.37, 2426.98, 0.0000, 1764.47, 2548.05, 0.0000, 60, 45, 45
L 1764.47, 2548.05, 0.0000, 1710.95, 2669.12, 0.0000, 60, 45, 45
L 1710.95, 2669.12, 0.0000, 1764.47, 2790.19, 0.0000, 60, 45, 45
L 1764.47, 2790.19, 0.0000, 1728.92, 2911.27, 0.0000, 60, 45, 45
L 1728.92, 2911.27, 0.0000, 1764.47, 3032.34, 0.0000, 60, 45, 45
L 1764.47, 3032.34, 0.0000, 1644.10, 2974.71, 0.0000, 60, 45, 45
L 1644.10, 2974.71, 0.0000, 1523.73, 3032.34, 0.0000, 60, 45, 45
L 1523.73, 3032.34, 0.0000, 1403.35, 2985.58, 0.0000, 60, 45, 45
L 1403.35, 2985.58, 0.0000, 1282.98, 3032.34, 0.0000, 60, 45, 45
L 1282.98, 3032.34, 0.0000, 1162.61, 2992.94, 0.0000, 60, 45, 45
L 1162.61, 2992.94, 0.0000, 1042.24, 3032.34, 0.0000, 60, 45, 45
L 1042.24, 3032.34, 0.0000, 921.86, 2966.92, 0.0000, 60, 45, 45
L 921.86, 2966.92, 0.0000, 801.49, 3032.34, 0.0000, 60, 45, 45
L 801.49, 3032.34, 0.0000, 681.12, 2962.95, 0.0000, 60, 45, 45
L 681.12, 2962.95, 0.0000, 560.75, 3032.34, 0.0000, 60, 45, 45
L 560.75, 3032.34, 0.0000, 440.38, 2986.87, 0.0000, 60, 45, 45
L 440.38, 2986.87, 0.0000, 320.00, 3032.34, 0.0000, 60, 45, 45
L 320.00, 3032.34, 0.0000, 199.63, 2974.80, 0.0000, 60, 45, 45
L 199.63, 2974.80, 0.0000, 79.26, 3032.34, 0.0000, 60, 45, 45
L 79.26, 3032.34, 0.0000, -41.11, 2957.86, 0.0000, 60, 45, 45
L -41.11, 2957.86, 0.0000, -161.48, 3032.34, 0.0000, 60, 45, 45
L -161.48, 3032.34, 0.0000, -281.86, 2993.50, 0.0000, 60, 45, 45
L -281.86, 2993.50, 0.0000, -402.23, 3032.34, 0.0000, 60, 45, 45
L -402.23, 3032.34, 0.0000, -522.60, 2990.05, 0.0000, 60, 45, 45
L -522.60, 2990.05, 0.0000, -642.97, 3032.34, 0.0000, 60, 45, 45
L -642.97, 3032.34, 0.0000, -763.35, 3002.51, 0.0000, 60, 45, 45
L -763.35, 3002.51, 0.0000, -883.72, 3032.34, 0.0000, 60, 45, 45
L -883.72, 3032.34, 0.0000, -1004.09, 2977.68, 0.0000, 60, 45, 45
L -1004.09, 2977.68, 0.0000, -1124.46, 3032.34, 0.0000, 60, 45, 45
L -1124.46, 3032.34, 0.0000, -1244.83, 2976.78, 0.0000, 60, 45, 45
L -1244.83, 2976.78, 0.0000, -1365.21, 3032.34, 0.0000, 60, 45, 45
L -1365.21, 3032.34, 0.0000, -1485.58, 2984.00, 0.0000, 60, 45, 45
