L -1100.00, -1402.72, 0.0000, -1100.00, 2382.34, 0.0000, 98, 78, 72
L -550.00, -1402.72, 0.0000, -550.00, 2382.34, 0.0000, 98, 78, 72
L 0.00, -1402.72, 0.0000, 0.00, 2382.34, 0.0000, 98, 78, 72
L 550.00, -1402.72, 0.0000, 550.00, 2382.34, 0.0000, 98, 78, 72
L 1100.00, -1402.72, 0.0000, 1100.00, 2382.34, 0.0000, 98, 78, 72
L -1437.44, -1100.00, 0.0000, 1114.47, -1100.00, 0.0000, 98, 78, 72
L -1437.44, -550.00, 0.0000, 1114.47, -550.00, 0.0000, 98, 78, 72
L -1437.44, 0.00, 0.0000, 1114.47, 0.00, 0.0000, 98, 78, 72
L -1437.44, 550.00, 0.0000, 1114.47, 550.00, 0.0000, 98, 78, 72
L -1437.44, 1100.00, 0.0000, 1114.47, 1100.00, 0.0000, 98, 78, 72
L -1437.44, 1650.00, 0.0000, 1114.47, 1650.00, 0.0000, 98, 78, 72
L -1437.44, 2200.00, 0.0000, 1114.47, 2200.00, 0.0000, 98, 78, 72
L -2087.44, -2052.72, 0.0000, -1967.07, -1999.18, 0.0000, 60, 45, 45
L -1967.07, -1999.18, 0.0000, -1846.70, -2052.72, 0.0000, 60, 45, 45
L -1846.70, -2052.72, 0.0000, -1726.32, -2003.77, 0.0000, 60, 45, 45
L -1726.32, -2003.77, 0.0000, -1605.95, -2052.72, 0.0000, 60, 45, 45
L -1605.95, -2052.72, 0.0000, -1485.58, -1997.83, 0.0000, 60, 45, 45
L -1485.58, -1997.83, 0.0000, -1365.21, -2052.72, 0.0000, 60, 45, 45
L -1365.21, -2052.72, 0.0000, -1244.83, -2001.51, 0.0000, 60, 45, 45
L -1244.83, -2001.51, 0.0000, -1124.46, -2052.72, 0.0000, 60, 45, 45
L -1124.46, -2052.72, 0.0000, -1004.09, -1987.81, 0.0000, 60, 45, 45
L -1004.09, -1987.81, 0.0000, -883.72, -2052.72, 0.0000, 60, 45, 45
L -883.72, -2052.72, 0.0000, -763.35, -2011.68, 0.0000, 60, 45, 45
L -763.35, -2011.68, 0.0000, -642.97, -2052.72, 0.0000, 60, 45, 45
L -642.97, -2052.72, 0.0000, -522.60, -1987.00, 0.0000, 60, 45, 45
L -522.60, -1987.00, 0.0000, -402.23, -2052.72, 0.0000, 60, 45, 45
L -402.23, -2052.72, 0.0000, -281.86, -2024.43, 0.0000, 60, 45, 45
L -281.86, -2024.43, 0.0000, -161.48, -2052.72, 0.0000, 60, 45, 45
L -161.48, -2052.72, 0.0000, -41.11, -1979.44, 0.0000, 60, 45, 45
L -41.11, -1979.44, 0.0000, 79.26, -2052.72, 0.0000, 60, 45, 45
L 79.26, -2052.72, 0.0000, 199.63, -1996.46, 0.0000, 60, 45, 45
L 199.63, -1996.46, 0.0000, 320.00, -2052.72, 0.0000, 60, 45, 45
L 320.00, -2052.72, 0.0000, 440.38, -2025.74, 0.0000, 60, 45, 45
L 440.38, -2025.74, 0.0000, 560.75, -2052.72, 0.0000, 60, 45, 45
L 560.75, -2052.72, 0.0000, 681.12, -2023.57, 0.0000, 60, 45, 45
L 681.12, -2023.57, 0.0000, 801.49, -2052.72, 0.0000, 60, 45, 45
L 801.49, -2052.72, 0.0000, 921.86, -2014.68, 0.0000, 60, 45, 45
L 921.86, -2014.68, 0.0000, 1042.24, -2052.72, 0.0000, 60, 45, 45
L 1042.24, -2052.72, 0.0000, 1162.61, -2003.85, 0.0000, 60, 45, 45
L 1162.61, -2003.85, 0.0000, 1282.98, -2052.72, 0.0000, 60, 45, 45
L 1282.98, -2052.72, 0.0000, 1403.35, -1985.40, 0.0000, 60, 45, 45
L 1403.35, -1985.40, 0.0000, 1523.73, -2052.72, 0.0000, 60, 45, 45
L 1523.73, -2052.72, 0.0000, 1644.10, -1995.26, 0.0000, 60, 45, 45
L 1644.10, -1995.26, 0.0000, 1764.47, -2052.72, 0.0000, 60, 45, 45
L 1764.47, -2052.72, 0.0000, 1713.86, -1931.65, 0.0000, 60, 45, 45
L 1713.86, -1931.65, 0.0000, 1764.47, -1810.57, 0.0000, 60, 45, 45
L 1764.47, -1810.57, 0.0000, 1715.93, -1689.50, 0.0000, 60, 45, 45
L 1715.93, -1689.50, 0.0000, 1764.47, -1568.43, 0.0000, 60, 45, 45
L 1764.47, -1568.43, 0.0000, 1689.58, -1447.36, 0.0000, 60, 45, 45
L 1689.58, -1447.36, 0.0000, 1764.47, -1326.28, 0.0000, 60, 45, 45
L 1764.47, -1326.28, 0.0000, 1697.26, -1205.21, 0.0000, 60, 45, 45
L 1697.26, -1205.21, 0.0000, 1764.47, -1084.14, 0.0000, 60, 45, 45
L 1764.47, -1084.14, 0.0000, 1722.85, -963.06, 0.0000, 60, 45, 45
L 1722.85, -963.06, 0.0000, 1764.47, -841.99, 0.0000, 60, 45, 45
L 1764.47, -841.99, 0.0000, 1724.13, -720.92, 0.0000, 60, 45, 45
L 1724.13, -720.92, 0.0000, 1764.47, -599.85, 0.0000, 60, 45, 45
L 1764.47, -599.85, 0.0000, 1700.86, -478.77, 0.0000, 60, 45, 45
L 1700.86, -478.77, 0.0000, 1764.47, -357.70, 0.0000, 60, 45, 45
L 1764.47, -357.70, 0.0000, 1696.95, -236.63, 0.0000, 60, 45, 45
L 1696.95, -236.63, 0.0000, 1764.47, -115.55, 0.0000, 60, 45, 45
L 1764.47, -115.55, 0.0000, 1691.52, 5.52, 0.0000, 60, 45, 45
L 1691.52, 5.52, 0.0000, 1764.47, 126.59, 0.0000, 60, 45, 45
L 1764.47, 126.59, 0.0000, 1738.19, 247.66, 0.0000, 60, 45, 45
L 1738.19, 247.66, 0.0000, 1764.47, 368.74, 0.0000, 60, 45, 45
L 1764.47, 368.74, 0.0000, 1693.84, 489.81, 0.0000, 60, 45, 45
L 1693.84, 489.81, 0.0000, 1764.47, 610.88, 0.0000, 60, 45, 45
L 1764.47, 610.88, 0.0000, 1690.43, 731.96, 0.0000, 60, 45, 45
L 1690.43, 731.96, 0.0000, 1764.47, 853.03, 0.0000, 60, 45, 45
L 1764.47, 853.03, 0.0000, 1734.66, 974.10, 0.0000, 60, 45, 45
L 1734.66, 974.10, 0.0000, 1764.47, 1095.17, 0.0000, 60, 45, 45
L 1764.47, 1095.17, 0.0000, 1700.27, 1216.25, 0.0000, 60, 45, 45
L 1700.27, 1216.25, 0.0000, 1764.47, 1337.32, 0.0000, 60, 45, 45
L 1764.47, 1337.32, 0.0000, 1733.97, 1458.39, 0.0000, 60, 45, 45
L 1733.97, 1458.39, 0.0000, 1764.47, 1579.47, 0.0000, 60, 45, 45
