L 0.00, -1491.66, 0.0000, 0.00, 4448.16, 0.0000, 160, 165, 140
L 2040.00, -1491.66, 0.0000, 2040.00, 4448.16, 0.0000, 160, 165, 140
L 4080.00, -1491.66, 0.0000, 4080.00, 4448.16, 0.0000, 160, 165, 140
L 6120.00, -1491.66, 0.0000, 6120.00, 4448.16, 0.0000, 160, 165, 140
L 8160.00, -1491.66, 0.0000, 8160.00, 4448.16, 0.0000, 160, 165, 140
L 10200.00, -1491.66, 0.0000, 10200.00, 4448.16, 0.0000, 160, 165, 140
L 12240.00, -1491.66, 0.0000, 12240.00, 4448.16, 0.0000, 160, 165, 140
L 14280.00, -1491.66, 0.0000, 14280.00, 4448.16, 0.0000, 160, 165, 140
L -82.03, 0.00, 0.0000, 16201.53, 0.00, 0.0000, 160, 165, 140
L -82.03, 2040.00, 0.0000, 16201.53, 2040.00, 0.0000, 160, 165, 140
L -82.03, 4080.00, 0.0000, 16201.53, 4080.00, 0.0000, 160, 165, 140
L -82.03, -1491.66, 0.0000, 16201.53, -1491.66, 0.0000, 160, 165, 140
L -82.03, 4448.16, 0.0000, 16201.53, 4448.16, 0.0000, 160, 165, 140
L -82.03, -1491.66, 0.0000, -82.03, 4448.16, 0.0000, 160, 165, 140
L 16201.53, -1491.66, 0.0000, 16201.53, 4448.16, 0.0000, 160, 165, 140
L -2687.03, -4096.66, 0.0000, -1663.53, -3880.89, 0.0000, 96, 110, 70
L -1663.53, -3880.89, 0.0000, -640.02, -4096.66, 0.0000, 96, 110, 70
L -640.02, -4096.66, 0.0000, 383.48, -3933.96, 0.0000, 96, 110, 70
L 383.48, -3933.96, 0.0000, 1406.98, -4096.66, 0.0000, 96, 110, 70
L 1406.98, -4096.66, 0.0000, 2430.48, -3827.11, 0.0000, 96, 110, 70
L 2430.48, -3827.11, 0.0000, 3453.99, -4096.66, 0.0000, 96, 110, 70
L 3453.99, -4096.66, 0.0000, 4477.49, -3923.50, 0.0000, 96, 110, 70
L 4477.49, -3923.50, 0.0000, 5500.99, -4096.66, 0.0000, 96, 110, 70
L 5500.99, -4096.66, 0.0000, 6524.50, -3930.66, 0.0000, 96, 110, 70
L 6524.50, -3930.66, 0.0000, 7548.00, -4096.66, 0.0000, 96, 110, 70
L 7548.00, -4096.66, 0.0000, 8571.50, -3896.87, 0.0000, 96, 110, 70
L 8571.50, -3896.87, 0.0000, 9595.00, -4096.66, 0.0000, 96, 110, 70
L 9595.00, -4096.66, 0.0000, 10618.51, -3891.44, 0.0000, 96, 110, 70
L 10618.51, -3891.44, 0.0000, 11642.01, -4096.66, 0.0000, 96, 110, 70
L 11642.01, -4096.66, 0.0000, 12665.51, -3935.87, 0.0000, 96, 110, 70
L 12665.51, -3935.87, 0.0000, 13689.02, -4096.66, 0.0000, 96, 110, 70
L 13689.02, -4096.66, 0.0000, 14712.52, -3956.52, 0.0000, 96, 110, 70
L 14712.52, -3956.52, 0.0000, 15736.02, -4096.66, 0.0000, 96, 110, 70
L 15736.02, -4096.66, 0.0000, 16759.52, -3961.70, 0.0000, 96, 110, 70
