P -4251.21, 5201.83, 0.0000, 96, 110, 60, 3, N
P -4251.21, 5733.79, 0.0000, 96, 110, 64, 1, S
P -3985.23, 5467.81, 0.0000, 96, 110, 64, 1, E
P -4517.19, 5467.81, 0.0000, 96, 110, 64, 1, W
L -3680.00, -1571.36, 0.0000, -3680.00, 5064.81, 0.0000, 150, 150, 110
L -2760.00, -1571.36, 0.0000, -2760.00, 5064.81, 0.0000, 150, 150, 110
L -1840.00, -1571.36, 0.0000, -1840.00, 5064.81, 0.0000, 150, 150, 110
L -920.00, -1571.36, 0.0000, -920.00, 5064.81, 0.0000, 150, 150, 110
L 0.00, -1571.36, 0.0000, 0.00, 5064.81, 0.0000, 150, 150, 110
L 920.00, -1571.36, 0.0000, 920.00, 5064.81, 0.0000, 150, 150, 110
L 1840.00, -1571.36, 0.0000, 1840.00, 5064.81, 0.0000, 150, 150, 110
L 2760.00, -1571.36, 0.0000, 2760.00, 5064.81, 0.0000, 150, 150, 110
L -3848.21, 0.00, 0.0000, 3480.63, 0.00, 0.0000, 150, 150, 110
L -3848.21, 920.00, 0.0000, 3480.63, 920.00, 0.0000, 150, 150, 110
L -3848.21, 1840.00, 0.0000, 3480.63, 1840.00, 0.0000, 150, 150, 110
L -3848.21, 2760.00, 0.0000, 3480.63, 2760.00, 0.0000, 150, 150, 110
L -3848.21, 3680.00, 0.0000, 3480.63, 3680.00, 0.0000, 150, 150, 110
L -3848.21, 4600.00, 0.0000, 3480.63, 4600.00, 0.0000, 150, 150, 110
L -3848.21, -1571.36, 0.0000, 3480.63, -1571.36, 0.0000, 150, 150, 110
L -3848.21, 5064.81, 0.0000, 3480.63, 5064.81, 0.0000, 150, 150, 110
L -3848.21, -1571.36, 0.0000, -3848.21, 5064.81, 0.0000, 150, 150, 110
L 3480.63, -1571.36, 0.0000, 3480.63, 5064.81, 0.0000, 150, 150, 110
L -5020.21, -2743.36, 0.0000, -4580.54, -2656.47, 0.0000, 96, 110, 64
L -4580.54, -2656.47, 0.0000, -4140.86, -2743.36, 0.0000, 96, 110, 64
L -4140.86, -2743.36, 0.0000, -3701.19, -2630.12, 0.0000, 96, 110, 64
L -3701.19, -2630.12, 0.0000, -3261.51, -2743.36, 0.0000, 96, 110, 64
L -3261.51, -2743.36, 0.0000, -2821.84, -2622.99, 0.0000, 96, 110, 64
L -2821.84, -2622.99, 0.0000, -2382.16, -2743.36, 0.0000, 96, 110, 64
L 2014.58, -2743.36, 0.0000, 2454.26, -2688.10, 0.0000, 96, 110, 64
L 2454.26, -2688.10, 0.0000, 2893.93, -2743.36, 0.0000, 96, 110, 64
L 2893.93, -2743.36, 0.0000, 3333.61, -2683.44, 0.0000, 96, 110, 64
L 3333.61, -2683.44, 0.0000, 3773.28, -2743.36, 0.0000, 96, 110, 64
L 3773.28, -2743.36, 0.0000, 4212.96, -2685.21, 0.0000, 96, 110, 64
L 4212.96, -2685.21, 0.0000, 4652.63, -2743.36, 0.0000, 96, 110, 64
L 4652.63, -2743.36, 0.0000, 4531.46, -2294.35, 0.0000, 96, 110, 64
L 4531.46, -2294.35, 0.0000, 4652.63, -1845.34, 0.0000, 96, 110, 64
L 4652.63, -1845.34, 0.0000, 4558.44, -1396.33, 0.0000, 96, 110, 64
L 4558.44, -1396.33, 0.0000, 4652.63, -947.33, 0.0000, 96, 110, 64
L 4652.63, -947.33, 0.0000, 4579.07, -498.32, 0.0000, 96, 110, 64
L 4579.07, -498.32, 0.0000, 4652.63, -49.31, 0.0000, 96, 110, 64
L 4652.63, -49.31, 0.0000, 4584.91, 399.70, 0.0000, 96, 110, 64
L 4584.91, 399.70, 0.0000, 4652.63, 848.71, 0.0000, 96, 110, 64
L 4652.63, 848.71, 0.0000, 4590.91, 1297.72, 0.0000, 96, 110, 64
L 4590.91, 1297.72, 0.0000, 4652.63, 1746.72, 0.0000, 96, 110, 64
L 4652.63, 1746.72, 0.0000, 4595.99, 2195.73, 0.0000, 96, 110, 64
L 4595.99, 2195.73, 0.0000, 4652.63, 2644.74, 0.0000, 96, 110, 64
L 4652.63, 2644.74, 0.0000, 4591.17, 3093.75, 0.0000, 96, 110, 64
L 4591.17, 3093.75, 0.0000, 4652.63, 3542.76, 0.0000, 96, 110, 64
L 4652.63, 3542.76, 0.0000, 4514.36, 3991.77, 0.0000, 96, 110, 64
L 4514.36, 3991.77, 0.0000, 4652.63, 4440.78, 0.0000, 96, 110, 64
L 4652.63, 4440.78, 0.0000, 4598.63, 4889.78, 0.0000, 96, 110, 64
L 4598.63, 4889.78, 0.0000, 4652.63, 5338.79, 0.0000, 96, 110, 64
L 4652.63, 5338.79, 0.0000, 4596.80, 5787.80, 0.0000, 96, 110, 64
L 4596.80, 5787.80, 0.0000, 4652.63, 6236.81, 0.0000, 96, 110, 64
L 4652.63, 6236.81, 0.0000, 4212.96, 6153.38, 0.0000, 96, 110, 64
L 4212.96, 6153.38, 0.0000, 3773.28, 6236.81, 0.0000, 96, 110, 64
L 3773.28, 6236.81, 0.0000, 3333.61, 6102.65, 0.0000, 96, 110, 64
L 3333.61, 6102.65, 0.0000, 2893.93, 6236.81, 0.0000, 96, 110, 64
L 2893.93, 6236.81, 0.0000, 2454.26, 6097.60, 0.0000, 96, 110, 64
L 2454.26, 6097.60, 0.0000, 2014.58, 6236.81, 0.0000, 96, 110, 64
