P 1190.00, 131.60, 0.0000, 46, 58, 52, 3, N
P 1190.00, 316.40, 0.0000, 46, 58, 52, 1, S
P 1282.40, 224.00, 0.0000, 46, 58, 52, 1, E
P 1097.60, 224.00, 0.0000, 46, 58, 52, 1, W
L 0.00, -2255.00, 0.0000, 0.00, 84.00, 0.0000, 120, 132, 124
L 430.00, -2255.00, 0.0000, 430.00, 84.00, 0.0000, 120, 132, 124
L 860.00, -2255.00, 0.0000, 860.00, 84.00, 0.0000, 120, 132, 124
L -210.00, -1720.00, 0.0000, 1050.00, -1720.00, 0.0000, 120, 132, 124
L -210.00, -1290.00, 0.0000, 1050.00, -1290.00, 0.0000, 120, 132, 124
L -210.00, -860.00, 0.0000, 1050.00, -860.00, 0.0000, 120, 132, 124
L -210.00, -430.00, 0.0000, 1050.00, -430.00, 0.0000, 120, 132, 124
L -210.00, 0.00, 0.0000, 1050.00, 0.00, 0.0000, 120, 132, 124
L -210.00, 84.00, 0.0000, 1050.00, 84.00, 0.0000, 120, 132, 124
L -210.00, -2255.00, 0.0000, -210.00, 84.00, 0.0000, 120, 132, 124
L 1050.00, -2255.00, 0.0000, 1050.00, 84.00, 0.0000, 120, 132, 124
L 1362.04, -2003.20, 0.0000, 1410.00, -1799.27, 0.0000, 46, 58, 52
L 1410.00, -1799.27, 0.0000, 1364.91, -1595.33, 0.0000, 46, 58, 52
L 1364.91, -1595.33, 0.0000, 1410.00, -1391.40, 0.0000, 46, 58, 52
L 1410.00, -1391.40, 0.0000, 1362.90, -1187.47, 0.0000, 46, 58, 52
L 1362.90, -1187.47, 0.0000, 1410.00, -983.53, 0.0000, 46, 58, 52
L 1410.00, -983.53, 0.0000, 1378.60, -779.60, 0.0000, 46, 58, 52
L 1378.60, -779.60, 0.0000, 1410.00, -575.67, 0.0000, 46, 58, 52
L 1410.00, -575.67, 0.0000, 1374.71, -371.73, 0.0000, 46, 58, 52
L 1374.71, -371.73, 0.0000, 1410.00, -167.80, 0.0000, 46, 58, 52
L 1410.00, -167.80, 0.0000, 1380.17, 36.13, 0.0000, 46, 58, 52
L 1380.17, 36.13, 0.0000, 1410.00, 240.07, 0.0000, 46, 58, 52
L 1410.00, 240.07, 0.0000, 1386.17, 444.00, 0.0000, 46, 58, 52
L 1410.00, 444.00, 0.0000, 1190.00, 403.12, 0.0000, 46, 58, 52
L 1190.00, 403.12, 0.0000, 970.00, 444.00, 0.0000, 46, 58, 52
L 970.00, 444.00, 0.0000, 750.00, 404.15, 0.0000, 46, 58, 52
L 750.00, 404.15, 0.0000, 530.00, 444.00, 0.0000, 46, 58, 52
L 530.00, 444.00, 0.0000, 310.00, 403.75, 0.0000, 46, 58, 52
L 310.00, 403.75, 0.0000, 90.00, 444.00, 0.0000, 46, 58, 52
L 90.00, 444.00, 0.0000, -130.00, 395.67, 0.0000, 46, 58, 52
L -130.00, 395.67, 0.0000, -350.00, 444.00, 0.0000, 46, 58, 52
L -350.00, 444.00, 0.0000, -570.00, 411.10, 0.0000, 46, 58, 52
L -570.00, 444.00, 0.0000, -546.25, 240.07, 0.0000, 46, 58, 52
L -546.25, 240.07, 0.0000, -570.00, 36.13, 0.0000, 46, 58, 52
L -570.00, 36.13, 0.0000, -516.89, -167.80, 0.0000, 46, 58, 52
L -516.89, -167.80, 0.0000, -570.00, -371.73, 0.0000, 46, 58, 52
L -570.00, -371.73, 0.0000, -538.00, -575.67, 0.0000, 46, 58, 52
L -538.00, -575.67, 0.0000, -570.00, -779.60, 0.0000, 46, 58, 52
L -570.00, -779.60, 0.0000, -520.25, -983.53, 0.0000, 46, 58, 52
L -520.25, -983.53, 0.0000, -570.00, -1187.47, 0.0000, 46, 58, 52
L -570.00, -1187.47, 0.0000, -527.64, -1391.40, 0.0000, 46, 58, 52
L -527.64, -1391.40, 0.0000, -570.00, -1595.33, 0.0000, 46, 58, 52
L -570.00, -1595.33, 0.0000, -520.75, -1799.27, 0.0000, 46, 58, 52
L -520.75, -1799.27, 0.0000, -570.00, -2003.20, 0.0000, 46, 58, 52
L 1330.00, -2007.91, 0.0000, 1315.15, -1744.36, 0.0000, 74, 88, 80
