L -2080.00, -1955.00, 0.0000, -2080.00, 2063.00, 0.0000, 196, 186, 168
L -1560.00, -1955.00, 0.0000, -1560.00, 2063.00, 0.0000, 196, 186, 168
L -1040.00, -1955.00, 0.0000, -1040.00, 2063.00, 0.0000, 196, 186, 168
L -520.00, -1955.00, 0.0000, -520.00, 2063.00, 0.0000, 196, 186, 168
L 0.00, -1955.00, 0.0000, 0.00, 2063.00, 0.0000, 196, 186, 168
L 520.00, -1955.00, 0.0000, 520.00, 2063.00, 0.0000, 196, 186, 168
L 1040.00, -1955.00, 0.0000, 1040.00, 2063.00, 0.0000, 196, 186, 168
L 1560.00, -1955.00, 0.0000, 1560.00, 2063.00, 0.0000, 196, 186, 168
L 2080.00, -1955.00, 0.0000, 2080.00, 2063.00, 0.0000, 196, 186, 168
L -2217.00, -1560.00, 0.0000, 2447.00, -1560.00, 0.0000, 196, 186, 168
L -2217.00, -1040.00, 0.0000, 2447.00, -1040.00, 0.0000, 196, 186, 168
L -2217.00, -520.00, 0.0000, 2447.00, -520.00, 0.0000, 196, 186, 168
L -2217.00, 0.00, 0.0000, 2447.00, 0.00, 0.0000, 196, 186, 168
L -2217.00, 520.00, 0.0000, 2447.00, 520.00, 0.0000, 196, 186, 168
L -2217.00, 1040.00, 0.0000, 2447.00, 1040.00, 0.0000, 196, 186, 168
L -2217.00, 1560.00, 0.0000, 2447.00, 1560.00, 0.0000, 196, 186, 168
L -2217.00, -1955.00, 0.0000, 2447.00, -1955.00, 0.0000, 196, 186, 168
L -2217.00, 2063.00, 0.0000, 2447.00, 2063.00, 0.0000, 196, 186, 168
L -2217.00, -1955.00, 0.0000, -2217.00, 2063.00, 0.0000, 196, 186, 168
L 2447.00, -1955.00, 0.0000, 2447.00, 2063.00, 0.0000, 196, 186, 168
L -2657.00, -2395.00, 0.0000, -2435.24, -2348.37, 0.0000, 70, 62, 52
L -2435.24, -2348.37, 0.0000, -2213.48, -2395.00, 0.0000, 70, 62, 52
L -2213.48, -2395.00, 0.0000, -1991.72, -2351.94, 0.0000, 70, 62, 52
L -1991.72, -2351.94, 0.0000, -1769.96, -2395.00, 0.0000, 70, 62, 52
L -1769.96, -2395.00, 0.0000, -1548.20, -2351.75, 0.0000, 70, 62, 52
L -1548.20, -2351.75, 0.0000, -1326.44, -2395.00, 0.0000, 70, 62, 52
L -1326.44, -2395.00, 0.0000, -1104.68, -2350.83, 0.0000, 70, 62, 52
L -1104.68, -2350.83, 0.0000, -882.92, -2395.00, 0.0000, 70, 62, 52
L -882.92, -2395.00, 0.0000, -661.16, -2338.37, 0.0000, 70, 62, 52
L -661.16, -2338.37, 0.0000, -439.40, -2395.00, 0.0000, 70, 62, 52
L -439.40, -2395.00, 0.0000, -217.64, -2347.83, 0.0000, 70, 62, 52
L -217.64, -2347.83, 0.0000, 4.12, -2395.00, 0.0000, 70, 62, 52
L 4.12, -2395.00, 0.0000, 225.88, -2340.40, 0.0000, 70, 62, 52
L 225.88, -2340.40, 0.0000, 447.64, -2395.00, 0.0000, 70, 62, 52
L 447.64, -2395.00, 0.0000, 669.40, -2337.82, 0.0000, 70, 62, 52
L 669.40, -2337.82, 0.0000, 891.16, -2395.00, 0.0000, 70, 62, 52
L 891.16, -2395.00, 0.0000, 1112.92, -2344.50, 0.0000, 70, 62, 52
L 1112.92, -2344.50, 0.0000, 1334.68, -2395.00, 0.0000, 70, 62, 52
L 1334.68, -2395.00, 0.0000, 1556.44, -2349.25, 0.0000, 70, 62, 52
L 1556.44, -2349.25, 0.0000, 1778.20, -2395.00, 0.0000, 70, 62, 52
L 1778.20, -2395.00, 0.0000, 1999.96, -2339.51, 0.0000, 70, 62, 52
L 1999.96, -2339.51, 0.0000, 2221.72, -2395.00, 0.0000, 70, 62, 52
L 2221.72, -2395.00, 0.0000, 2443.48, -2363.87, 0.0000, 70, 62, 52
L 2443.48, -2363.87, 0.0000, 2665.24, -2395.00, 0.0000, 70, 62, 52
L 2665.24, -2395.00, 0.0000, 2887.00, -2352.88, 0.0000, 70, 62, 52
L 2887.00, -2395.00, 0.0000, 2846.66, -2172.36, 0.0000, 70, 62, 52
L 2846.66, -2172.36, 0.0000, 2887.00, -1949.73, 0.0000, 70, 62, 52
L 2887.00, -1949.73, 0.0000, 2836.24, -1727.09, 0.0000, 70, 62, 52
L 2836.24, -1727.09, 0.0000, 2887.00, -1504.45, 0.0000, 70, 62, 52
L 2887.00, -1504.45, 0.0000, 2827.92, -1281.82, 0.0000, 70, 62, 52
L 2827.92, -1281.82, 0.0000, 2887.00, -1059.18, 0.0000, 70, 62, 52
L 2887.00, -1059.18, 0.0000, 2864.29, -836.55, 0.0000, 70, 62, 52
L 2864.29, -836.55, 0.0000, 2887.00, -613.91, 0.0000, 70, 62, 52
L 2887.00, -613.91, 0.0000, 2849.95, -391.27, 0.0000, 70, 62, 52
L 2849.95, -391.27, 0.0000, 2887.00, -168.64, 0.0000, 70, 62, 52
L 2887.00, -168.64, 0.0000, 2841.39, 54.00, 0.0000, 70, 62, 52
L 2841.39, 54.00, 0.0000, 2887.00, 276.64, 0.0000, 70, 62, 52
L 2887.00, 276.64, 0.0000, 2831.85, 499.27, 0.0000, 70, 62, 52
L 2831.85, 499.27, 0.0000, 2887.00, 721.91, 0.0000, 70, 62, 52
L 2887.00, 721.91, 0.0000, 2864.42, 944.55, 0.0000, 70, 62, 52
L 2864.42, 944.55, 0.0000, 2887.00, 1167.18, 0.0000, 70, 62, 52
L 2887.00, 1167.18, 0.0000, 2841.39, 1389.82, 0.0000, 70, 62, 52
L 2841.39, 1389.82, 0.0000, 2887.00, 1612.45, 0.0000, 70, 62, 52
L 2887.00, 1612.45, 0.0000, 2864.86, 1835.09, 0.0000, 70, 62, 52
L 2864.86, 1835.09, 0.0000, 2887.00, 2057.73, 0.0000, 70, 62, 52
L 2887.00, 2057.73, 0.0000, 2831.30, 2280.36, 0.0000, 70, 62, 52
L 2831.30, 2280.36, 0.0000, 2887.00, 2503.00, 0.0000, 70, 62, 52
L 2887.00, 2503.00, 0.0000, 2665.24, 2479.85, 0.0000, 70, 62, 52
L 2665.24, 2479.85, 0.0000, 2443.48, 2503.00, 0.0000, 70, 62, 52
L 2443.48, 2503.00, 0.0000, 2221.72, 2469.20, 0.0000, 70, 62, 52
L 2221.72, 2469.20, 0.0000, 1999.96, 2503.00, 0.0000, 70, 62, 52
L 1999.96, 2503.00, 0.0000, 1778.20, 2444.89, 0.0000, 70, 62, 52
L 1778.20, 2444.89, 0.0000, 1556.44, 2503.00, 0.0000, 70, 62, 52
L 1556.44, 2503.00, 0.0000, 1334.68, 2466.17, 0.0000, 70, 62, 52
L 1334.68, 2466.17, 0.0000, 1112.92, 2503.00, 0.0000, 70, 62, 52
L 1112.92, 2503.00, 0.0000, 891.16, 2455.28, 0.0000, 70, 62, 52
L 891.16, 2455.28, 0.0000, 669.40, 2503.00, 0.0000, 70, 62, 52
L 669.40, 2503.00, 0.0000, 447.64, 2467.84, 0.0000, 70, 62, 52
L 447.64, 2467.84, 0.0000, 225.88, 2503.00, 0.0000, 70, 62, 52
L 225.88, 2503.00, 0.0000, 4.12, 2461.62, 0.0000, 70, 62, 52
