P -1713.30, 3314.99, 0.0000, 150, 116, 58, 3, N
P -1713.30, 3664.79, 0.0000, 150, 120, 66, 1, S
P -1538.40, 3489.89, 0.0000, 150, 120, 66, 1, E
P -1888.20, 3489.89, 0.0000, 150, 120, 66, 1, W
L -1200.00, -1587.88, 0.0000, -1200.00, 3224.89, 0.0000, 180, 160, 110
L -600.00, -1587.88, 0.0000, -600.00, 3224.89, 0.0000, 180, 160, 110
L 0.00, -1587.88, 0.0000, 0.00, 3224.89, 0.0000, 180, 160, 110
L 600.00, -1587.88, 0.0000, 600.00, 3224.89, 0.0000, 180, 160, 110
L -1448.30, -600.00, 0.0000, 829.00, -600.00, 0.0000, 180, 160, 110
L -1448.30, 0.00, 0.0000, 829.00, 0.00, 0.0000, 180, 160, 110
L -1448.30, 600.00, 0.0000, 829.00, 600.00, 0.0000, 180, 160, 110
L -1448.30, 1200.00, 0.0000, 829.00, 1200.00, 0.0000, 180, 160, 110
L -1448.30, 1800.00, 0.0000, 829.00, 1800.00, 0.0000, 180, 160, 110
L -1448.30, 2400.00, 0.0000, 829.00, 2400.00, 0.0000, 180, 160, 110
L -1448.30, 3000.00, 0.0000, 829.00, 3000.00, 0.0000, 180, 160, 110
L -1448.30, -1587.88, 0.0000, 829.00, -1587.88, 0.0000, 180, 160, 110
L -1448.30, 3224.89, 0.0000, 829.00, 3224.89, 0.0000, 180, 160, 110
L -1448.30, -1587.88, 0.0000, -1448.30, 3224.89, 0.0000, 180, 160, 110
L 829.00, -1587.88, 0.0000, 829.00, 3224.89, 0.0000, 180, 160, 110
L 1599.00, -1780.35, 0.0000, 1531.34, -1491.59, 0.0000, 150, 120, 66
L 1531.34, -1491.59, 0.0000, 1599.00, -1202.83, 0.0000, 150, 120, 66
L 1599.00, -1202.83, 0.0000, 1537.60, -914.07, 0.0000, 150, 120, 66
L 1537.60, -914.07, 0.0000, 1599.00, -625.30, 0.0000, 150, 120, 66
L 1599.00, -625.30, 0.0000, 1554.97, -336.54, 0.0000, 150, 120, 66
L 1554.97, -336.54, 0.0000, 1599.00, -47.78, 0.0000, 150, 120, 66
L 1599.00, -47.78, 0.0000, 1507.93, 240.98, 0.0000, 150, 120, 66
L 1507.93, 240.98, 0.0000, 1599.00, 529.75, 0.0000, 150, 120, 66
L 1599.00, 529.75, 0.0000, 1531.78, 818.51, 0.0000, 150, 120, 66
L 1531.78, 818.51, 0.0000, 1599.00, 1107.27, 0.0000, 150, 120, 66
L 1599.00, 1107.27, 0.0000, 1529.30, 1396.03, 0.0000, 150, 120, 66
L 1529.30, 1396.03, 0.0000, 1599.00, 1684.80, 0.0000, 150, 120, 66
L 1599.00, 1684.80, 0.0000, 1526.89, 1973.56, 0.0000, 150, 120, 66
L 1526.89, 1973.56, 0.0000, 1599.00, 2262.32, 0.0000, 150, 120, 66
L 1599.00, 2262.32, 0.0000, 1524.44, 2551.08, 0.0000, 150, 120, 66
L 1524.44, 2551.08, 0.0000, 1599.00, 2839.84, 0.0000, 150, 120, 66
L 1599.00, 2839.84, 0.0000, 1544.64, 3128.61, 0.0000, 150, 120, 66
L 1544.64, 3128.61, 0.0000, 1599.00, 3417.37, 0.0000, 150, 120, 66
L 1599.00, 3417.37, 0.0000, 1545.41, 3706.13, 0.0000, 150, 120, 66
L 1545.41, 3706.13, 0.0000, 1599.00, 3994.89, 0.0000, 150, 120, 66
L 1599.00, 3994.89, 0.0000, 1305.36, 3929.95, 0.0000, 150, 120, 66
L 1305.36, 3929.95, 0.0000, 1011.72, 3994.89, 0.0000, 150, 120, 66
L 1011.72, 3994.89, 0.0000, 718.09, 3901.09, 0.0000, 150, 120, 66
L 718.09, 3901.09, 0.0000, 424.45, 3994.89, 0.0000, 150, 120, 66
L 424.45, 3994.89, 0.0000, 130.81, 3926.24, 0.0000, 150, 120, 66
L 130.81, 3926.24, 0.0000, -162.83, 3994.89, 0.0000, 150, 120, 66
L -162.83, 3994.89, 0.0000, -456.47, 3957.88, 0.0000, 150, 120, 66
L -456.47, 3957.88, 0.0000, -750.11, 3994.89, 0.0000, 150, 120, 66
L -750.11, 3994.89, 0.0000, -1043.74, 3939.69, 0.0000, 150, 120, 66
L -1043.74, 3939.69, 0.0000, -1337.38, 3994.89, 0.0000, 150, 120, 66
L -1337.38, 3994.89, 0.0000, -1631.02, 3953.23, 0.0000, 150, 120, 66
L -1631.02, 3953.23, 0.0000, -1924.66, 3994.89, 0.0000, 150, 120, 66
L -1924.66, 3994.89, 0.0000, -2218.30, 3903.93, 0.0000, 150, 120, 66
L -2218.30, 3994.89, 0.0000, -2138.15, 3706.13, 0.0000, 150, 120, 66
L -2138.15, 3706.13, 0.0000, -2218.30, 3417.37, 0.0000, 150, 120, 66
L -2218.30, 3417.37, 0.0000, -2159.69, 3128.61, 0.0000, 150, 120, 66
L -2159.69, 3128.61, 0.0000, -2218.30, 2839.84, 0.0000, 150, 120, 66
L -2218.30, 2839.84, 0.0000, -2130.74, 2551.08, 0.0000, 150, 120, 66
L -2130.74, 2551.08, 0.0000, -2218.30, 2262.32, 0.0000, 150, 120, 66
L -2218.30, 2262.32, 0.0000, -2145.73, 1973.56, 0.0000, 150, 120, 66
L -2145.73, 1973.56, 0.0000, -2218.30, 1684.80, 0.0000, 150, 120, 66
L -2218.30, 1684.80, 0.0000, -2129.64, 1396.03, 0.0000, 150, 120, 66
L -2129.64, 1396.03, 0.0000, -2218.30, 1107.27, 0.0000, 150, 120, 66
L -2218.30, 1107.27, 0.0000, -2139.57, 818.51, 0.0000, 150, 120, 66
L -2139.57, 818.51, 0.0000, -2218.30, 529.75, 0.0000, 150, 120, 66
L -2218.30, 529.75, 0.0000, -2174.67, 240.98, 0.0000, 150, 120, 66
L -2174.67, 240.98, 0.0000, -2218.30, -47.78, 0.0000, 150, 120, 66
L -2218.30, -47.78, 0.0000, -2146.73, -336.54, 0.0000, 150, 120, 66
L -2146.73, -336.54, 0.0000, -2218.30, -625.30, 0.0000, 150, 120, 66
L -2218.30, -625.30, 0.0000, -2181.78, -914.07, 0.0000, 150, 120, 66
L -2181.78, -914.07, 0.0000, -2218.30, -1202.83, 0.0000, 150, 120, 66
L -2218.30, -1202.83, 0.0000, -2171.68, -1491.59, 0.0000, 150, 120, 66
L -2171.68, -1491.59, 0.0000, -2218.30, -1780.35, 0.0000, 150, 120, 66
L 1311.38, -1726.36, 0.0000, 1359.00, -1334.84, 0.0000, 214, 188, 120
L 1359.00, -1334.84, 0.0000, 1329.29, -943.32, 0.0000, 214, 188, 120
